"ID","Label"
"cpi_m_chi","[в % к предыдущему периоду] Индекс потребительских цен  (CPI_M_CHI)"
"rdexro_m","[руб/долл.] Официальный курс доллара  (RDEXRO_M)"
"rdexrm_m","[руб/долл.] Курс доллара на ММВБ  (RDEXRM_M)"
"rts_m","[пункты] Средний индекс РТС  (RTS_M)"
"ib_m","[% годовых] Межбанковская ставка   (IB_M)"
"gko_m","[% годовых] Доходность ГКО   (GKO_M)"
"dep_m","[% годовых] Депозитная ставка   (DEP_M)"
"cr_m","[% годовых] Ставка по кредитам  (CR_M)"
"gdpea_q_diri","[2003.01 = 100] Индекс реального ВВП согласно ОКВЭД  (GDPEA_Q_DIRI)"
"gdpea_q_diri_sa","[2003.01(факт) = 100] Индекс реального ВВП, с поправкой на сезонность  (GDPEA_Q_DIRI_SA)"
"gdpea_c_q","[млрд.руб.] Объем ВВП в текущих ценах согласно ОКВЭД  (GDPEA_C_Q)"
"hhi_m_diri","[1992.12=100] Реальные денежные доходы  (HHI_M_DIRI)"
"hhi_m_diri_sa","[1992.12(факт)=100] Реальные денежные доходы, с поправкой на сезонность  (HHI_M_DIRI_SA)"
"hhi_m","[рублей в месяц] Среднедушевые денежные доходы населения  (HHI_M)"
"invfc_q_diri","[1993.I=100] Индекс реальных инвестиций в основной капитал  (INVFC_Q_DIRI)"
"invfc_q_diri_sa","[1993.I (факт)=100] Индекс реальных инвестиций в основной капитал, с поправкой на сезонность  (INVFC_Q_DIRI_SA)"
"ip_ea_m","[2002.1=100] Индекс промышленного производства по ОКВЭД  (IP_EA_M)"
"ip_ea_m_sa","[2002.1(факт)=100] Индекс промышленного производства по ОКВЭД, с поправкой на сезонность  (IP_EA_M_SA)"
"ppi_ea_m","[в % к предыдущему периоду] Индекс цен производителей промышленных товаров  (PPI_EA_M)"
