"cpi_m_chi","rdexro_m","rdexrm_m","rts_m","ib_m","gko_m","dep_m","cr_m","gdpea_q_diri","gdpea_q_diri_sa","gdpea_c_q","hhi_m_diri","hhi_m_diri_sa","hhi_m","invfc_q_diri","invfc_q_diri_sa","ip_ea_m","ip_ea_m_sa","ppi_ea_m","time"
101.2,27.77,27.7,665.44,1.1,4.1,4.5,10.6,113.2,123.2,4458.6,118.1,129.3,6705,NA,NA,121.8,123.9,101.3,2005-02-28
101.3,27.83,27.86,688.99,1,3.2,4.2,10.5,113.2,123.2,4458.6,130.4,130.8,7472,NA,NA,129.8,124.5,102.5,2005-03-31
101.1,27.79,27.77,688.88,1.3,3.7,4,10.3,123,125.3,5077.9,135.7,132,7885,NA,NA,124.9,125,102.5,2005-04-30
100.8,28.09,28.19,658.18,3,4.1,4.1,11,123,125.3,5077.9,126,132.9,7391,NA,NA,118.2,125.6,102.7,2005-05-31
100.6,28.67,28.64,686.04,4,3.9,3.9,10.9,123,125.3,5077.9,134.8,133.7,7969,NA,NA,125.6,126.2,100.1,2005-06-30
100.5,28.68,28.64,752.18,3.4,3.7,3.8,10,134.1,127.6,5845.2,135.6,134.5,8104,NA,NA,125.3,126.8,100.5,2005-07-31
99.9,28.55,28.56,832.56,2.4,3.7,3.9,10.5,134.1,127.6,5845.2,131.8,135.6,7883,NA,NA,127.8,127.4,102,2005-08-31
100.3,28.5,28.53,929.32,1.4,4,3.8,10.5,134.1,127.6,5845.2,140.9,137,8401,NA,NA,128.7,128.1,102.8,2005-09-30
100.6,28.42,28.5,939.71,2.9,3.7,3.7,10.6,138.5,130,6228.1,140.7,138.5,8457,NA,NA,132.1,128.6,100.9,2005-10-31
100.7,28.73,28.73,998.61,5.7,4.1,4.1,11.4,138.5,130,6228.1,144.1,139.8,8713,NA,NA,134.9,129,99.1,2005-11-30
100.8,28.79,28.74,1100.04,4.8,4.1,4.1,11.1,138.5,130,6228.1,201.9,140.9,12354,NA,NA,142.6,129.5,97.9,2005-12-31
102.4,28.12,28.13,1283.58,3.1,4.5,8.3,10.2,121.5,132.6,5792.9,109.8,142.4,6897,NA,NA,122,130.1,100.5,2006-01-31
101.7,28.12,28.11,1393.66,3.1,4.6,8.4,10.7,121.5,132.6,5792.9,129.5,144.4,8342,NA,NA,123.4,130.8,103.2,2006-02-28
100.8,27.76,27.7,1412.61,3.3,4.7,8.3,10.2,121.5,132.6,5792.9,143.3,146.9,9275,NA,NA,137.6,131.7,102.1,2006-03-31
100.4,27.36,27.22,1571.14,3.3,5.2,8.4,10.8,132.9,135.4,6368.1,149.5,149.8,9630,NA,NA,130.2,132.6,100.6,2006-04-30
100.5,26.98,26.94,1581.92,2.4,4.5,8,11,132.9,135.4,6368.1,149.8,152.7,9672,NA,NA,131.1,133.6,101.8,2006-05-31
100.3,27.08,26.94,1391.33,2.8,4.3,7.5,10.5,132.9,135.4,6368.1,159.5,155,10396,NA,NA,131.7,134.7,100.8,2006-06-30
100.7,26.87,26.82,1514.07,2,4.5,7.3,10.1,145.1,138.1,7275.8,154.9,156.6,10140,NA,NA,133.4,135.6,101.7,2006-07-31
100.2,26.74,26.72,1628.79,2.3,3.5,7.8,10.3,145.1,138.1,7275.8,157.9,157.5,10325,NA,NA,138.2,136.4,102.2,2006-08-31
100.1,26.75,26.79,1560.64,3.5,3.6,6.6,10.5,145.1,138.1,7275.8,155.3,158.1,10188,NA,NA,137.4,137.3,101.4,2006-09-30
100.3,26.75,26.77,1596.05,4.1,4.1,7.7,10.1,150.8,140.9,7480.3,158.6,158.6,10455,NA,NA,143.5,138.1,97.2,2006-10-31
100.6,26.31,26.3,1699.03,6.2,5.2,7.7,10.6,150.8,140.9,7480.3,163.7,159.1,10856,NA,NA,144.7,138.9,97.5,2006-11-30
100.8,26.38,26.37,1849.23,5,5,7.7,10.5,150.8,140.9,7480.3,231.6,159.8,15513,NA,NA,150.8,139.6,101,2006-12-31
101.7,26.53,26.55,1829.89,3.3,4.7,7.5,9.9,131.3,143.8,6780.2,120.9,160.6,8346,87.1,143.8,134.1,140.3,101.7,2007-01-31
101.1,26.16,26.15,1898.08,3.8,4.7,7.4,9.9,131.3,143.8,6780.2,148.3,161.6,10315,87.1,143.8,132.5,141,100.1,2007-02-28
100.6,26.02,26.02,1841.69,4.8,5,7.4,10,131.3,143.8,6780.2,157.1,163.1,11132,87.1,143.8,147.2,141.9,100,2007-03-31
100.6,25.74,25.74,1959.48,3.3,5,7.5,9.8,144.4,146.7,7767.5,164.6,165.2,11662,132.9,146.5,139.4,142.9,104.3,2007-04-30
100.6,25.9,25.9,1843.92,3.3,4.6,7.2,9.5,144.4,146.7,7767.5,164.6,167.7,11744,132.9,146.5,140.4,143.7,105.3,2007-05-31
101,25.8,25.82,1859.7,3.4,4.6,7.2,9.5,144.4,146.7,7767.5,173.2,170.3,12392,132.9,146.5,141.6,144.3,102.5,2007-06-30
100.9,25.6,25.55,2008.03,3.5,4.2,7,9.2,156.9,149.8,8902.7,173.7,173.1,12534,156.5,151.3,145.9,144.8,100.7,2007-07-31
100.1,25.65,25.62,1902.31,5.2,4.6,7,9.9,156.9,149.8,8902.7,174.6,175.8,12620,156.5,151.3,147.3,145.2,102.1,2007-08-31
100.8,24.96,24.94,1964.47,6.2,5.8,7,10.4,156.9,149.8,8902.7,175.8,178.1,12847,156.5,151.3,144.2,145.7,99.4,2007-09-30
101.6,24.72,24.67,2144.76,5.7,5,7.2,10.6,164.6,153.6,9797,176,179.6,13073,226.7,161,151.7,146.6,99.9,2007-10-31
101.2,24.42,24.4,2207.28,6.3,5,7.2,10.8,164.6,153.6,9797,188.3,180.2,14112,226.7,161,153.7,148,103.1,2007-11-30
101.1,24.64,24.53,2282.9,4.4,5.1,7.3,10.8,164.6,153.6,9797,258.7,179.9,19632,226.7,161,158.5,149.5,103.7,2007-12-31
102.3,24.48,24.43,2112,2.8,4.7,7,10.4,143.3,157.6,8877.7,130.9,178.9,10426,107.5,170.8,143.3,150.7,101.6,2008-01-31
101.2,24.12,24,2007.43,4.3,5.1,6.9,11,143.3,157.6,8877.7,164.2,177.6,12902,107.5,170.8,143.4,151.5,100.7,2008-02-29
101.2,23.52,23.49,2023.73,4.3,5.1,7,11.3,143.3,157.6,8877.7,164.5,176.9,13312,107.5,170.8,152.6,151.6,100.7,2008-03-31
101.4,23.65,23.66,2119.09,4.2,5.2,7.1,11.2,155.8,159.7,10238.3,181.3,176.9,14745,156.2,173.6,147.5,151.1,104.5,2008-04-30
101.4,23.67,23.74,2363.94,3.7,4.9,6.9,11,155.8,159.7,10238.3,171.7,177.6,14345,156.2,173.6,146.8,150.4,103.5,2008-05-31
101,23.46,23.4,2360.42,3.7,5.3,7.4,11.3,155.8,159.7,10238.3,180.2,178.7,15159,156.2,173.6,145.6,149.3,104.9,2008-06-30
100.5,23.45,23.42,2123.88,4.4,5.6,7.4,11.4,167,157.4,11542,184.8,179.2,15636,175.6,166.7,148.7,147.7,105.4,2008-07-31
100.4,24.55,24.57,1745.25,5.8,5.9,7.4,11.8,167,157.4,11542,189.6,178.8,16011,175.6,166.7,148.8,145.4,100.4,2008-08-31
100.8,25.25,25.37,1354.56,7.1,6.2,7.6,12.7,167,157.4,11542,175.5,177.8,15091,175.6,166.7,148.4,142.3,95,2008-09-30
100.9,26.54,26.98,790.28,7.6,6.5,8.4,14.1,162.4,151,10618.9,174.8,176.6,15241,223.7,155.2,149.4,138.5,93.4,2008-10-31
100.8,27.42,27.62,677.39,9.5,7.2,8.9,15,162.4,151,10618.9,179.5,175.8,15513,223.7,155.2,134.6,134,91.6,2008-11-30
100.7,29.23,29.36,647.09,8.3,8.7,9.7,15.5,162.4,151,10618.9,230.9,176.1,19960,223.7,155.2,138.3,129.4,92.4,2008-12-31
102.4,34.68,35.37,555.8,16.3,9.7,7.4,17.1,130.1,143.9,8334.6,125.6,177.6,11254,88.2,142.4,116.2,126.6,96.6,2009-01-31
101.7,35.72,35.72,552.88,9.3,9.9,7.8,16.6,130.1,143.9,8334.6,168.4,179.9,15078,88.2,142.4,117.5,125.4,105.1,2009-02-28
101.3,34.01,33.86,653.04,8.7,9.4,8.3,16.1,130.1,143.9,8334.6,174,182,15864,88.2,142.4,129.9,125.9,102.9,2009-03-31
